item_type,split,n_steps_run,stopped_reason,elapsed_seconds,test_loss_nll,item_grade_pearson_r,item_grade_spearman_r,ability_recovery_pearson_r
Y/N Vocab,Cold,13,converged,810.6,0.560919565842571,0.744949480608043,0.6736789821814793,0.8461652257938068
Y/N Vocab,Jump 20,11,converged,853.9,0.5565343996327007,0.8006846556335484,0.7363473036584981,0.8075714723072234
Y/N Vocab,Jump 40,13,converged,1221.2,0.5549822338286164,0.7259116308714888,0.6959784782272472,0.7674664722300436
Y/N Vocab,Jump 80,13,converged,992.9,0.551292072057603,0.8344413275164457,0.7674492763504525,0.7428470255879357
Y/N Vocab,Warm 05-08,9,converged,628.6,0.5492960970302867,0.8409283642858586,0.752917292852996,0.849758361350961
Y/N Vocab,Warm 05-15,8,converged,548.1,0.5519211954216192,0.8295393241357375,0.7486183349085047,0.8479172936044072
ViC,Cold,13,converged,379.6,0.5443266023361011,0.6559568787886298,0.5578548486983961,0.8106857719675287
ViC,Jump 20,14,converged,418.4,0.519323703879551,0.8027144361849712,0.7405096914594027,0.8031699337870625
ViC,Jump 40,17,converged,509.6,0.5089040047757948,0.8552284790160121,0.7971398202578492,0.7895824139581843
ViC,Jump 80,15,converged,454.8,0.5044345439246302,0.874063171625054,0.835985689924945,0.7645322191788687
ViC,Warm 05-08,10,converged,296.2,0.49752289507268754,0.9290854598194848,0.8631888932839956,0.8284366931118836
ViC,Warm 05-15,11,converged,345.2,0.49714963918809957,0.9318028524758458,0.8753036537369712,0.825879715426138
Y/N Vocab,Cold,12,converged,487.6,0.5545487674072456,0.7588330390204305,0.6849635311709164,0.847068818601901
Y/N Vocab,Jump 20,12,converged,866.9,0.552184339395738,0.8067913896177695,0.7458576096740144,0.8135382760720496
Y/N Vocab,Jump 40,11,converged,703.7,0.5464054461076379,0.7185398836273065,0.6913322935333998,0.772160661603408
Y/N Vocab,Jump 80,15,converged,919.1,0.5455380025547383,0.8607882811574241,0.7860074375057098,0.74987890937747
Y/N Vocab,Warm 05-08,9,converged,473.3,0.5459101971137682,0.8546677663732165,0.7721582719789911,0.8507777476034022
Y/N Vocab,Warm 05-15,8,converged,459.6,0.54584234009394,0.8546763867531126,0.7797464866542192,0.8499202041954474
ViC,Cold,13,converged,330.1,0.5517604325615282,0.6558734004862121,0.6000243178068725,0.8167556546911731
ViC,Jump 20,13,converged,359.0,0.5301479989690501,0.8434057544804103,0.7387522924889736,0.8094030425070846
ViC,Jump 40,18,converged,466.8,0.5216453662885515,0.8798137150885222,0.8024938924969958,0.7986112794006497
ViC,Jump 80,7,converged,185.0,0.6025858350913277,0.9020835617821568,0.7733287227817217,0.7556804963016689
ViC,Warm 05-08,11,converged,292.6,0.5081491752839595,0.9215503056126831,0.8495155552419406,0.8290909561822799
ViC,Warm 05-15,10,converged,279.6,0.5091793321727299,0.9201830314894363,0.8551408717480105,0.8276572500318543
Y/N Vocab,Cold,11,converged,489.9,0.5481732667096584,0.7705025393834242,0.6827470281021095,0.850269521975614
Y/N Vocab,Jump 20,13,converged,628.6,0.5419907829571277,0.7940291450506989,0.7339665930211952,0.8101925984710409
Y/N Vocab,Jump 40,10,converged,510.6,0.538554901878551,0.712822597364586,0.6857261980800796,0.7735427889791352
Y/N Vocab,Jump 80,12,converged,646.2,0.5383185181746426,0.8655487324188127,0.8036135547199431,0.7537568692033637
Y/N Vocab,Warm 05-08,9,converged,459.3,0.541638920407928,0.8456630354748524,0.7643724050097288,0.8537841255643428
Y/N Vocab,Warm 05-15,9,converged,485.2,0.5424566087734843,0.8574093238214808,0.7782347082681411,0.8529836775436926
ViC,Cold,17,converged,421.3,0.5274754805924885,0.664126050466299,0.5419618761720613,0.8212431342620841
ViC,Jump 20,17,converged,422.1,0.5052608014131235,0.8734301969800694,0.7762470719004806,0.8128707163533777
ViC,Jump 40,17,converged,434.6,0.5038108999447781,0.9007415085381048,0.8147890295250522,0.7979420228520722
ViC,Jump 80,16,converged,422.8,0.5045829659212554,0.9054032133878057,0.8278204545300878,0.7697221417833215
